Num;Age;Gender;Education;Work?;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9
86;24-26;female;Master of Science;No;5;3;3;6;4;4;6;6;6
87;20-23;female;Bachelor's degree;No;7;2;5;4;3;3;7;5;3
88;20-23;female;Bachelor's degree;Yes, full-time;8;6;8;7;9;8;6;8;7
89;20-23;male;prefer not to say;No;1;3;1;1;1;1;1;1;5
90;20-23;male;Master of Science;No;10;1;1;1;1;1;1;1;1
91;18-20;male;Bachelor's degree;No;7;5;6;3;6;3;6;5;6
92;24-26;male;Master of Science;No;6;4;3;5;4;4;4;4;9
93;24-26;female;Master of Science;No;8;1;8;1;1;1;10;1;8
94;20-23;male;Bachelor's degree;Yes, part-time;8;7;5;8;6;6;8;6;9
95;20-23;female;Bachelor's degree;No;6;5;5;5;5;5;5;5;5
96;20-23;female;Bachelor's degree;No;2;5;3;6;3;5;3;4;6
97;24-26;female;Master of Science;No;4;4;4;4;4;4;4;4;4
98;20-23;female;Master of Science;Yes, part-time;9;7;1;1;1;1;1;1;5
99;20-23;female;Master of Science;No;10;7;4;6;2;8;6;4;8
100;20-23;male;Master of Science;No;2;10;2;5;6;6;6;6;6
101;20-23;female;Bachelor's degree;No;10;6;8;2;5;6;6;6;9
102;20-23;female;Master of Science;No;4;4;2;3;2;2;3;3;3
103;20-23;female;Bachelor's degree;No;8;2;8;6;2;2;8;6;4
104;20-23;female;Bachelor's degree;No;5;3;5;4;2;3;4;5;3
105;20-23;female;Master of Science;No;5;1;4;1;1;1;5;1;1
106;24-26;female;Master of Science;No;3;7;5;7;4;5;5;5;5
107;20-23;female;Master of Science;No;6;7;7;4;2;2;6;6;5
108;20-23;female;Master of Science;No;6;1;8;3;1;1;6;4;3
109;20-23;female;Master of Science;No;3;3;1;5;2;2;4;3;7
110;20-23;female;Master of Science;Yes, part-time;10;10;10;10;10;10;10;10;10
111;20-23;female;Master of Science;No;8;5;4;5;4;5;8;5;7
112;20-23;female;Master of Science;No;5;5;4;4;4;3;5;3;4
113;20-23;female;Master of Science;No;8;2;9;5;2;2;6;5;5
114;20-23;female;Master of Science;No;5;1;5;4;1;1;4;3;3
115;20-23;female;Master of Science;No;8;1;8;3;1;1;1;1;6
116;20-23;female;Master of Science;No;8;3;3;7;4;6;4;4;7
117;20-23;female;Master of Science;No;4;5;2;6;4;4;7;4;7
118;20-23;female;Master of Science;No;4;5;4;1;4;4;8;5;5
119;20-23;female;Master of Science;No;7;7;3;5;4;4;4;4;4
120;20-23;female;Master of Science;No;6;4;5;9;5;7;10;5;6
121;20-23;female;Master of Science;No;8;6;4;4;3;5;9;3;7
122;20-23;female;Master of Science;No;7;2;3;4;2;3;5;4;5
123;20-23;female;Master of Science;No;8;3;7;8;4;2;10;7;7
124;20-23;female;Master of Science;No;3;3;3;3;3;3;3;3;8
125;20-23;female;Master of Science;No;6;6;5;6;5;3;7;3;4
