resp_id,rating,operating_system,RAM,storage,screen_size,battery,price,nationality,Age,Gender,Education,Work
9,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
9,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
9,7,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
9,6,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
9,8,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
9,5,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
10,6,MacOS,4,1000,14,8,500,italy,24-26,male,Master of Science,"Yes, part-time"
10,8,MacOS,16,256,13.3,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
10,5,Windows,4,256,13.3,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
10,7,Linux,16,526,13.3,4,1500,italy,24-26,male,Master of Science,"Yes, part-time"
10,7,Linux,8,1000,15.6,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
10,8,Linux,8,526,14,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
10,7,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
10,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Master of Science,"Yes, part-time"
10,5,Windows,4,526,14,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
11,8,MacOS,4,1000,14,8,500,italy,20-23,male,Bachelor's degree,No
11,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Bachelor's degree,No
11,7,Linux,8,526,14,8,1000,italy,20-23,male,Bachelor's degree,No
11,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Bachelor's degree,No
11,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Bachelor's degree,No
11,6,MacOS,16,256,13.3,8,1000,italy,20-23,male,Bachelor's degree,No
11,7,Windows,4,526,14,12,1500,italy,20-23,male,Bachelor's degree,No
11,6,Windows,4,256,13.3,4,500,italy,20-23,male,Bachelor's degree,No
11,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Bachelor's degree,No
12,8,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
12,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
12,6,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
12,6,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
12,9,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
12,8,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
12,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
12,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
12,7,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
13,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
13,7,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,"Yes, part-time"
13,9,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,"Yes, part-time"
13,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
13,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,"Yes, part-time"
13,8,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
13,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
13,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
13,6,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
14,6,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
14,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
14,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
14,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
14,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
14,7,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
14,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
14,6,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
14,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
15,8,MacOS,4,1000,14,8,500,italy,24-26,male,Not a student,"Yes, full-time"
15,6,Linux,8,1000,15.6,4,500,italy,24-26,male,Not a student,"Yes, full-time"
15,6,Linux,8,526,14,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
15,5,Windows,4,256,13.3,4,500,italy,24-26,male,Not a student,"Yes, full-time"
15,7,Windows,8,256,15.6,12,1000,italy,24-26,male,Not a student,"Yes, full-time"
15,6,Windows,4,526,14,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
15,8,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
15,5,Linux,16,526,13.3,4,1500,italy,24-26,male,Not a student,"Yes, full-time"
15,7,MacOS,16,256,13.3,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
